"filename", "language", "JSON", "JSON with Comments", "TypeScript", "comment", "blank", "total"
"d:\atakan yiğit\Projects\sentient-ai\MotorFunctionsLayer\index.ts", "TypeScript", 0, 0, 25, 5, 8, 38
"d:\atakan yiğit\Projects\sentient-ai\MotorFunctionsLayer\package-lock.json", "JSON", 4817, 0, 0, 0, 1, 4818
"d:\atakan yiğit\Projects\sentient-ai\MotorFunctionsLayer\package.json", "JSON", 28, 0, 0, 0, 1, 29
"d:\atakan yiğit\Projects\sentient-ai\MotorFunctionsLayer\src\config\database.ts", "TypeScript", 0, 0, 34, 0, 5, 39
"d:\atakan yiğit\Projects\sentient-ai\MotorFunctionsLayer\src\controllers\speech.controller.ts", "TypeScript", 0, 0, 14, 0, 1, 15
"d:\atakan yiğit\Projects\sentient-ai\MotorFunctionsLayer\src\entities\Context.ts", "TypeScript", 0, 0, 18, 0, 4, 22
"d:\atakan yiğit\Projects\sentient-ai\MotorFunctionsLayer\src\entities\Hormones.ts", "TypeScript", 0, 0, 15, 0, 4, 19
"d:\atakan yiğit\Projects\sentient-ai\MotorFunctionsLayer\src\entities\LongTermMemories.ts", "TypeScript", 0, 0, 34, 0, 9, 43
"d:\atakan yiğit\Projects\sentient-ai\MotorFunctionsLayer\src\entities\Migrations.ts", "TypeScript", 0, 0, 10, 0, 4, 14
"d:\atakan yiğit\Projects\sentient-ai\MotorFunctionsLayer\src\entities\ShortTermMemories.ts", "TypeScript", 0, 0, 25, 0, 6, 31
"d:\atakan yiğit\Projects\sentient-ai\MotorFunctionsLayer\src\entities\Vitals.ts", "TypeScript", 0, 0, 15, 0, 4, 19
"d:\atakan yiğit\Projects\sentient-ai\MotorFunctionsLayer\src\routes\speech.ts", "TypeScript", 0, 0, 5, 0, 3, 8
"d:\atakan yiğit\Projects\sentient-ai\MotorFunctionsLayer\src\services\speech.service.ts", "TypeScript", 0, 0, 34, 4, 11, 49
"d:\atakan yiğit\Projects\sentient-ai\MotorFunctionsLayer\tsconfig.json", "JSON with Comments", 0, 20, 0, 0, 0, 20
"Total", "-", 4845, 20, 229, 9, 61, 5164